specific model of the car,engine type,engine cc,engine aspiration,gear type/transmission,number of gears,top speed (km/h),front brakes,rear brakes,front suspension,rear suspension,boot space (litres),seat capacity,number of doors,torque (Nm),time for 0-100 km/h (s),mileage,fuel type,year of the car,price (RM),source listing_url,specs source_url,match_confidence
Mercedes Benz W205 Class C 200 Specs,Inline 4,1991,Turbo,6 speed Manual,6,237,Vented Discs,Discs,Coil springs.,Coil Springs.,480,5,4,300,7.5,124999,Petrol,2016,59800,https://www.mudah.my/2016-mercedes-benz-c200-avantgarde-ckd-2-0-w205-114893440.htm,https://www.ultimatespecs.com/car-specs/Mercedes-Benz/68003/Mercedes-Benz-W205-Class-C-200.html,exact
Mercedes Benz Class C (W206) 200 Specs,Inline 4,1496,Turbo Intercooler,9 speed Automatic,9,246,Vented Discs,Discs,Independent. MacPherson. Coil Springs. Anti-roll bar.,Multi-link. Coil Springs. Anti-roll bar.,455,5,4,300,7.3,32499,Mild Hybrid / Petrol,2023,228000,https://www.mudah.my/2023-mercedes-benz-c200-1-5-avantgarde-sport-unreg-114888888.htm,https://www.ultimatespecs.com/car-specs/Mercedes-Benz/127265/Mercedes-Benz-Class-C-(W206)-200.html,exact
Mercedes Benz W205 Class C 200 Specs,Inline 4,1991,Turbo,6 speed Manual,6,237,Vented Discs,Discs,Coil springs.,Coil Springs.,480,5,4,300,7.5,97499,Petrol,2016,58900,https://www.mudah.my/2016-mercedes-c200-avantgarde-2-0-a-untung-sikit-114850852.htm,https://www.ultimatespecs.com/car-specs/Mercedes-Benz/68003/Mercedes-Benz-W205-Class-C-200.html,exact
Mercedes Benz W205 Class C 200 Specs,Inline 4,1991,Turbo,6 speed Manual,6,237,Vented Discs,Discs,Coil springs.,Coil Springs.,480,5,4,300,7.5,92499,Petrol,2016,59888,https://www.mudah.my/2016-mercedes-benz-c200-avantgarde-cbu-2-0-a-114799291.htm,https://www.ultimatespecs.com/car-specs/Mercedes-Benz/68003/Mercedes-Benz-W205-Class-C-200.html,exact
C_CLASS C200,,,,,,,,,,,,,,,,77499,,2019,78900,https://www.mudah.my/2019-mercedes-benz-c200-1-5-a-new-model-no-smoking-114795997.htm,,unmatched
Mercedes Benz W204 Class C 200 CGI BlueEFFICIENCY Berlina Aut. Specs,Inline 4,1796,Turbo + Intercooler,5 speed Automatic,5,232,Vented Discs,Discs,Independent MacPherson struts. Coil springs. Anti-roll bar.,Independent. Coil Springs. Anti-roll bar.,475,5,4,270,8.2,124999,Petrol,2011,28888,https://www.mudah.my/mercedes-benz-c200-1-8-cgi-blueefcy-leatherseat-114794531.htm,https://www.ultimatespecs.com/car-specs/Mercedes-Benz/10887/Mercedes-Benz-W204-Class-C-200-CGI-BlueEFFICIENCY-Berlina-Aut.html,exact
Mercedes Benz W205 Class C 200 Specs,Inline 4,1991,Turbo,6 speed Manual,6,237,Vented Discs,Discs,Coil springs.,Coil Springs.,480,5,4,300,7.5,124999,Petrol,2017,69800,https://www.mudah.my/2017-mercedes-benz-c200-2-0-avantgarde-ckd-a-114731384.htm,https://www.ultimatespecs.com/car-specs/Mercedes-Benz/68003/Mercedes-Benz-W205-Class-C-200.html,exact
Mercedes Benz W205 Class C 200 Specs,Inline 4,1991,Turbo,6 speed Manual,6,237,Vented Discs,Discs,Coil springs.,Coil Springs.,480,5,4,300,7.5,47499,Petrol,2018,99800,https://www.mudah.my/2018-mercedes-benz-c200-1-5-ori-mileage-55k-114685120.htm,https://www.ultimatespecs.com/car-specs/Mercedes-Benz/68003/Mercedes-Benz-W205-Class-C-200.html,exact
Mercedes Benz Class C (W206) 200 Specs,Inline 4,1496,Turbo Intercooler,9 speed Automatic,9,246,Vented Discs,Discs,Independent. MacPherson. Coil Springs. Anti-roll bar.,Multi-link. Coil Springs. Anti-roll bar.,455,5,4,300,7.3,52499,Mild Hybrid / Petrol,2022,155999,https://www.mudah.my/c-c-service-2022-mercedes-benz-c200-1-5-av-w206-114638829.htm,https://www.ultimatespecs.com/car-specs/Mercedes-Benz/127265/Mercedes-Benz-Class-C-(W206)-200.html,exact
Mercedes Benz Class C (W206) 200 Specs,Inline 4,1496,Turbo Intercooler,9 speed Automatic,9,246,Vented Discs,Discs,Independent. MacPherson. Coil Springs. Anti-roll bar.,Multi-link. Coil Springs. Anti-roll bar.,455,5,4,300,7.3,52499,Mild Hybrid / Petrol,2022,155999,https://www.mudah.my/only-54k-km-mercedes-benz-c200-1-5-w206-2022-114637972.htm,https://www.ultimatespecs.com/car-specs/Mercedes-Benz/127265/Mercedes-Benz-Class-C-(W206)-200.html,exact
Mercedes Benz Class C (W206) 200 Specs,Inline 4,1496,Turbo Intercooler,9 speed Automatic,9,246,Vented Discs,Discs,Independent. MacPherson. Coil Springs. Anti-roll bar.,Multi-link. Coil Springs. Anti-roll bar.,455,5,4,300,7.3,62499,Mild Hybrid / Petrol,2022,189000,https://www.mudah.my/2022-mercedes-benz-c200-1-5-amg-line-hud-jpn-unreg-114476158.htm,https://www.ultimatespecs.com/car-specs/Mercedes-Benz/127265/Mercedes-Benz-Class-C-(W206)-200.html,exact
Mercedes Benz Class C (W206) 200 Specs,Inline 4,1496,Turbo Intercooler,9 speed Automatic,9,246,Vented Discs,Discs,Independent. MacPherson. Coil Springs. Anti-roll bar.,Multi-link. Coil Springs. Anti-roll bar.,455,5,4,300,7.3,2499,Mild Hybrid / Petrol,2022,203000,https://www.mudah.my/2022-mercedes-benz-c200-1-5-avantgarde-amg-line-114472974.htm,https://www.ultimatespecs.com/car-specs/Mercedes-Benz/127265/Mercedes-Benz-Class-C-(W206)-200.html,exact
Mercedes Benz W205 Class C 200 Specs,Inline 4,1991,Turbo,6 speed Manual,6,237,Vented Discs,Discs,Coil springs.,Coil Springs.,480,5,4,300,7.5,104999,Petrol,2016,60800,https://www.mudah.my/2016-mercedes-benz-c200-avantgarde-2-0-a-f-loan-114382411.htm,https://www.ultimatespecs.com/car-specs/Mercedes-Benz/68003/Mercedes-Benz-W205-Class-C-200.html,exact
C_CLASS C200,,,,,,,,,,,,,,,,82499,,2019,87800,https://www.mudah.my/2019-mercedes-benz-c200-1-5-amg-a-full-loan-114380377.htm,,unmatched
Mercedes Benz W205 Class C 200 Specs,Inline 4,1991,Turbo,6 speed Manual,6,237,Vented Discs,Discs,Coil springs.,Coil Springs.,480,5,4,300,7.5,67499,Petrol,2018,84800,https://www.mudah.my/mercedes-benz-c200-1-5-facelift-low-mil-one-owner-114299582.htm,https://www.ultimatespecs.com/car-specs/Mercedes-Benz/68003/Mercedes-Benz-W205-Class-C-200.html,exact
C_CLASS C200,,,,,,,,,,,,,,,,72499,,2019,89630,https://www.mudah.my/otr-all-in-2020-mercedes-benz-c200-w205-facelift-114102698.htm,,unmatched
C_CLASS C200,,,,,,,,,,,,,,,,224999,,1996,6999,https://www.mudah.my/1996-2001-mercedes-benz-c200-a-113455090.htm,,unmatched
Mercedes Benz W205 Class C 200 Specs,Inline 4,1991,Turbo,6 speed Manual,6,237,Vented Discs,Discs,Coil springs.,Coil Springs.,480,5,4,300,7.5,87499,Petrol,2016,63800,https://www.mudah.my/2016-mercedes-benz-c200-convert-c63-2-0-3-yr-wrty-113085626.htm,https://www.ultimatespecs.com/car-specs/Mercedes-Benz/68003/Mercedes-Benz-W205-Class-C-200.html,exact
Mercedes Benz W205 Class C 200 Specs,Inline 4,1991,Turbo,6 speed Manual,6,237,Vented Discs,Discs,Coil springs.,Coil Springs.,480,5,4,300,7.5,87499,Petrol,2016,66800,https://www.mudah.my/2016-mercedes-benz-c200-avantgarde-2-0-a-112896938.htm,https://www.ultimatespecs.com/car-specs/Mercedes-Benz/68003/Mercedes-Benz-W205-Class-C-200.html,exact
